total_buildings,buildings_w_height_measurement,percent_buildings_with_height,min_height,quantile_0.05,mean_height,quantile_0.95,quantile_0.99,max_height,city
2891,2566,0.8875821515046697,3.004111051559448,3.2498374581336975,5.0683040198923,8.183843612670898,11.887535905838007,17.956668853759766,"Spencer, MA_buildings"
2628,2625,0.9988584474885844,0.25447314977645874,2.5145803451538087,4.875772912116278,7.14574575424194,8.568582572936998,12.751239776611328,"Spicer--New London, MN_buildings"
9033,8027,0.8886305767740507,2.5075016021728516,3.2509994506835938,5.548350503647537,9.678653240203857,12.938849029541014,22.32421875,"Spirit Lake, IA_buildings"
200577,199491,0.9945856204849011,1.2562813935801387e-4,1.7936711311340332,4.120663809781211,6.219958543777466,7.780622291564942,35.429935455322266,"Spokane, WA_buildings"
5788,5416,0.9357290946786455,2.507341146469116,3.2533485889434814,5.048387582052054,6.728258013725281,7.619103455543519,12.869028091430664,"Spout Springs, NC_buildings"
76790,60166,0.7835134783174893,3,3.144496440887451,4.2588496220078955,5.824180603027344,7.44838125705719,21.912626266479492,"Spring Hill, FL_buildings"
2496,524,0.20993589743589744,2.8141891956329346,3.70488611459732,4.960365127061159,5.9047106981277455,6.398177132606506,20.037456512451172,"Spring Hill, KS_buildings"
18938,14864,0.7848769669447672,2.5001580715179443,3.0250942945480346,4.947188641863952,6.676465201377868,8.566624212265003,25.50448989868164,"Spring Hill, TN_buildings"
78880,70748,0.8969066937119675,2.50018310546875,2.854654383659363,4.684514354970664,7.154252624511718,9.214677371978759,28.761083602905273,"Springfield, IL_buildings"
147518,126818,0.8596781409726271,2.500025749206543,2.9060057282447813,4.802380994812755,7.680631947517393,11.62795838356019,31.88020896911621,"Springfield, MA--CT_buildings"
114078,96334,0.8444573011448308,2.500068187713623,2.7547775506973267,4.2845164289170965,6.441649436950682,8.581721658706664,28.932147979736328,"Springfield, MO_buildings"
41025,40663,0.9911761121267519,5.571030778810382e-4,1.344844424724579,3.6214839762734172,5.872829818725586,7.298828992843623,30.12255096435547,"Springfield, OH_buildings"
7381,6272,0.8497493564557648,2.500922203063965,2.720995080471039,4.226832625057016,6.37949812412262,10.252691240310668,20.061342239379883,"Springfield, TN_buildings"
2312,1906,0.8243944636678201,2.5045480728149414,3.136255383491516,4.907655878182098,7.618790149688721,10.803332519531256,17.311445236206055,"Springfield, VT_buildings"
3804,3788,0.9957939011566772,0.017831813544034958,1.3629375994205475,3.7004080046461985,6.313917946815487,8.371489858627324,14.050150871276855,"Springhill, LA_buildings"
4730,4210,0.8900634249471459,2.5015838146209717,2.942975580692291,4.662734177729862,6.529295635223387,8.075495262145992,16.069202423095703,"St. Albans, VT_buildings"
40048,33322,0.832051538154215,3,3.2657928109169005,4.903164015097619,7.193268871307372,9.4543535900116,27.756298065185547,"St. Augustine, FL_buildings"
2670,2657,0.9951310861423222,0.02089575119316578,1.5105848550796512,4.084332733685316,6.388210773468012,8.733247604370117,18.660694122314453,"St. Clair, MO_buildings"
39267,39166,0.9974278656378129,1.4628437929786742e-4,2.3288397192955017,4.719659275372962,7.154184699058533,9.195537471771233,26.66706085205078,"St. Cloud, MN_buildings"
2521,2521,1,0.2311557829380035,2.4694836139678955,4.4929151962386005,6.409253120422363,7.582656478881836,11.18703556060791,"St. Francis, MN_buildings"
54421,51983,0.9552011172157807,9.898049756884576e-5,0.24963118880987178,3.9811793353649367,6.092889976501461,7.307743721008302,25.962995529174805,"St. George, UT_buildings"
