"city","model","aic","r2","dev_expl","built_estimate","built_std_error","built_p_value","mean_h_estimate","mean_h_std_error","mean_h_p_value","ndvi_estimate","ndvi_std_error","ndvi_p_value","weight","weight_normalized"
"Spokane, WA","Model2",21754.4959288137,0.336718702266718,0.311763520182839,-0.859252666313927,0.0982549342297808,3.2278668340689e-18,-0.0474308395094286,0.0149965976065336,0.00157445758151008,NA,NA,NA,0.00848108212933792,0.00799539967555924
"Spokane, WA","Model3",21812.6609463474,0.323545692849037,0.302003978725116,NA,NA,NA,-0.0047712397068753,0.0144805140705302,0.741799748483983,NA,NA,NA,1.98645253127009e-15,1.8726952152827e-15
"Spokane, WA","Model4",21787.6921930697,0.327182389149969,0.306040400303412,NA,NA,NA,NA,NA,NA,2.45418317329148,0.464714671143009,1.35282717086997e-07,5.24776133992738e-10,4.9472400661616e-10
"Spokane, WA","Model5",21789.1895471526,0.326996091794019,0.306122868411339,NA,NA,NA,-0.00677547884460746,0.0145169918073814,0.64072033211089,2.45984530755859,0.465001269062502,1.2889248923992e-07,2.48214854220249e-10,2.34000441763967e-10
"Spokane, WA","Model6",21750.8699542401,0.33713244879065,0.31230469177981,-0.682133334160049,0.0972690880581656,2.73003016218122e-12,NA,NA,NA,1.76261145613735,0.475317198394134,0.000211501993941463,0.0519782487638648,0.04900163292431
"Spokane, WA","Model7",21744.9560943583,0.338029489960168,0.313596938289864,-0.771277781336818,0.101710604696368,4.17262126485674e-14,-0.0437234999702926,0.0150912786704571,0.00378474130141994,1.69739064087134,0.477765024095342,0.000385600564967573,1,0.942733433496819
"Springfield, IL","Model1",13920.9443239149,0.451355973202239,0.385127283567607,-0.562027861233926,0.167411136733783,0.000800414848087357,NA,NA,NA,NA,NA,NA,1.02025390619127e-09,1.01906610523522e-09
"Springfield, IL","Model2",13901.0924534853,0.45434874199464,0.390467160097403,-0.588416450701514,0.166781031463411,0.000426897488165125,0.193555118635766,0.0346160004425248,2.52142366304134e-08,NA,NA,NA,2.08683041449821e-05,2.08440088284298e-05
"Springfield, IL","Model3",13911.096122365,0.453962298838167,0.38729383640213,NA,NA,NA,0.189848334797528,0.034403067891023,3.81082290495214e-08,NA,NA,NA,1.40351824014877e-07,1.40188423483169e-07
"Springfield, IL","Model4",13914.2966160178,0.461304750913756,0.386445701910562,NA,NA,NA,NA,NA,NA,1.54734518576426,0.276920175098969,2.57621821601069e-08,2.8329551218122e-08,2.829656936153e-08
"Springfield, IL","Model5",13893.1028222468,0.464197623502022,0.391754911668218,NA,NA,NA,0.207867272876407,0.0330248000989136,3.69430717916536e-10,1.76280331247418,0.271411511722967,1.01695872730489e-10,0.00113347915409516,0.00113215953393519
"Springfield, IL","Model6",13902.3621081148,0.460780097161991,0.390094895609013,-0.66034536118205,0.1647531832367,6.3184426664142e-05,NA,NA,NA,1.64076884303205,0.277101872334177,3.68212445570352e-09,1.10607648133941e-05,1.10478876394471e-05
"Springfield, IL","Model7",13879.5378952889,0.464893174964713,0.395963931859834,-0.650191656708886,0.163313968181109,7.07105044160365e-05,0.206949984778483,0.0335034176657369,7.71885023352453e-10,1.80181384945786,0.27428421983446,6.25336612418265e-11,1,0.998835779065538
"Springfield, MA--CT","Model1",40251.5364856785,0.478096683062874,0.368400777276201,-0.49437902356575,0.0721613314895746,7.9456778508101e-12,NA,NA,NA,NA,NA,NA,0.580168324655005,0.266044885801828
"Springfield, MA--CT","Model2",40253.4647134286,0.47802319786458,0.368400146148163,-0.493207889993811,0.0742600954656421,3.33121683461216e-11,0.000675375067931319,0.00898989572594377,0.940116559568263,NA,NA,NA,0.22123033559955,0.101448488084008
"Springfield, MA--CT","Model3",40288.3103021454,0.47465179129546,0.365351421190967,NA,NA,NA,0.0131330674469196,0.00881875285602594,0.136473645956798,NA,NA,NA,6.00096686791962e-09,2.75183335116683e-09
"Springfield, MA--CT","Model4",40279.0544772472,0.473453258657003,0.366160743893517,NA,NA,NA,NA,NA,NA,0.439609591629125,0.139638074608262,0.00164954463078998,6.13900614857578e-07,2.81513333342658e-07
"Springfield, MA--CT","Model5",40279.5023026514,0.473512065823478,0.366281174491458,NA,NA,NA,0.01358526378351,0.00880554403876174,0.122921853978724,0.442813885930961,0.139623030559051,0.00152300367625698,4.90742891412604e-07,2.25037512314313e-07
"Springfield, MA--CT","Model6",40250.4476116733,0.477500466810198,0.368671184094246,-0.466977589048518,0.0740381584914846,3.0103980670174e-10,NA,NA,NA,0.212629613763436,0.142114973287949,0.134651060395895,1,0.458564996563765
"Springfield, MA--CT","Model7",40252.3863820497,0.477409894884349,0.36866975538813,-0.463678879646824,0.0763889302979332,1.3450418716351e-09,0.00177842389603448,0.00901506625724653,0.843620001742276,0.214813425462282,0.142516135090933,0.131780250817688,0.379316174481567,0.17394112024772
"Springfield, MO","Model1",10325.4050110231,0.246206461525179,0.220577780603376,-0.196599760511095,0.165462809145935,0.234918289337682,NA,NA,NA,NA,NA,NA,0.254830182629864,0.0979624879513865
"Springfield, MO","Model2",10327.2208403398,0.246160285685996,0.220593655259772,-0.205197624175467,0.168091714071524,0.222340823062187,-0.00857195540253029,0.0313874492584566,0.784806522463697,NA,NA,NA,0.102789449299467,0.0395145900089647
"Springfield, MO","Model3",10326.647710052,0.245812671796173,0.220103994233771,NA,NA,NA,-0.00132831317218291,0.0309835728473783,0.965808681135601,NA,NA,NA,0.136899606558809,0.0526273062306208
"Springfield, MO","Model4",10322.6706952108,0.248110934722934,0.221702890381983,NA,NA,NA,NA,NA,NA,0.868759173669261,0.413878115516243,0.0359491820099369,1,0.384422625845995
"Springfield, MO","Model5",10324.3480116693,0.24739500302287,0.221783687286362,NA,NA,NA,0.010822026790458,0.0316824551046622,0.732708308612697,0.897085484493924,0.423421253272398,0.034255469262473,0.432290168758867,0.166182121801692
"Springfield, MO","Model6",10324.1471299098,0.247700900568122,0.22186152290635,-0.114143506325968,0.171805969065686,0.506535470805597,NA,NA,NA,0.792291888762564,0.428812884509453,0.0648178799213048,0.477965201432728,0.183740637797779
"Springfield, MO","Model7",10325.9245848061,0.247126098058457,0.221899969458813,-0.106157058303347,0.177257987688079,0.54932507948007,0.00598422104013094,0.0326427255246417,0.854563770879789,0.813657947670995,0.445535335812294,0.0679780679052555,0.196529093981656,0.0755502303635625
