NAME20,INTPTLAT20,INTPTLON20,Area,Building_Data_Present
"Cameron, MO",39.7439076,-94.2373415,11757802.21,FALSE
"Jasper, AL",33.8508763,-87.2631371,43339432.32,FALSE
"Decatur, AL",34.5875412,-87.0072566,113637260.8,FALSE
"Tuscaloosa, AL",33.203972,-87.541577,232239004.3,FALSE
"Crossett, AR",33.1401091,-91.9569631,23806466.72,FALSE
"Jackson, MS",32.3276874,-90.1567063,621118708.2,FALSE
"Sweetwater, TN",35.6007133,-84.4709158,18345850.43,FALSE
"Pulaski, TN",35.1989519,-87.0372257,13076287.52,FALSE
"Wauseon, OH",41.5536714,-84.1419994,13206367.85,FALSE
"Jacksonville, NC",34.752668,-77.4124098,197682747.3,FALSE
"Defiance, OH",41.2851458,-84.3593704,33390890.85,FALSE
"Cleveland, TN",35.1722245,-84.8604936,142526195.4,FALSE
"Lake City, FL",30.1781632,-82.654466,74585093.04,FALSE
"Adjuntas, PR",18.1631101,-66.7206336,12595984.21,FALSE
"Champaign, IL",40.1063383,-88.247566,121473686.3,FALSE
"Mahomet, IL",40.1954541,-88.3879466,17941662.88,FALSE
"Rantoul, IL",40.2973246,-88.1581223,23576746.75,FALSE
"Shreveport, LA",32.4839177,-93.7618052,475046880.8,FALSE
