NAME20,INTPTLAT20,INTPTLON20,Area,,,,,,,,,,,,,,,,,,,,,,
"Dexter, MO",+36.7926878,-089.9737916,20300573.66,,,,,,,,,,,,,,,,,,,,,,
"Hope, AR",+33.6654626,-093.5916940,20539550.15,,,,,,,,,,,,,,,,,,,,,,
"Salem, NJ",+39.5676977,-075.4795494,8139649.826,,,,,,,,,,,,,,,,,,,,,,
"Grand Forks, ND--MN",+47.9146159,-097.0665665,68832364.98,,,,,,,,,,,,,,,,,,,,,,
"Manteo, NC",+35.9241693,-075.7032303,13813973.67,,,,,,,,,,,,,,,,,,,,,,
"Eldon, MO",+38.3502379,-092.5768704,8645179.33,,,,,,,,,,,,,,,,,,,,,,
"Sedalia, MO",+38.6992307,-093.2433552,44327036.42,,,,,,,,,,,,,,,,,,,,,,
"Fredericktown, MO",+37.5587199,-090.2949038,8482321.198,,,,,,,,,,,,,,,,,,,,,,
"Duncan, OK",+34.5096085,-097.9626314,35417820.86,,,,,,,,,,,,,,,,,,,,,,
"Burkburnett, TX",+34.0831410,-098.5684949,16787734.35,,,,,,,,,,,,,,,,,,,,,,
"Raymondville, TX",+26.4448972,-097.7855496,14713922.77,,,,,,,,,,,,,,,,,,,,,,
"Abilene, TX",+32.4257902,-099.7498804,161525617.8,,,,,,,,,,,,,,,,,,,,,,
"Port Isabel--South Padre Island--Laguna Vista, TX",+26.0654291,-097.2057015,19923433.14,,,,,,,,,,,,,,,,,,,,,,
"Guthrie, OK",+35.8722282,-097.4199731,17702163.5,,,,,,,,,,,,,,,,,,,,,,
"Kaufman, TX",+32.5797400,-096.3053987,7957381.047,,,,,,,,,,,,,,,,,,,,,,
"Terrell, TX",+32.7356473,-096.2949701,31875718.64,,,,,,,,,,,,,,,,,,,,,,
"Franklin, NC",+35.1778930,-083.3807705,36993279.59,,,,,,,,,,,,,,,,,,,,,,
"Lake Placid, NY",+44.2811785,-073.9828785,9504886.978,,,,,,,,,,,,,,,,,,,,,,
"Berryville, AR",+36.3691659,-093.5632626,10832200,,,,,,,,,,,,,,,,,,,,,,
"Ravena--Bethlehem, NY",+42.5429825,-073.8100210,30532318.13,,,,,,,,,,,,,,,,,,,,,,
"Ferriday, LA",+31.6260583,-091.5592913,12525967.56,,,,,,,,,,,,,,,,,,,,,,
"Jonesboro, LA",+32.2503580,-092.7121309,14922999.78,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",+29.9450124,-090.1163183,676687423.6,,,,,,,,,,,,,,,,,,,,,,
"Tallulah, LA",+32.4066798,-091.1876137,9703650.957,,,,,,,,,,,,,,,,,,,,,,
"Albertville, AL",+34.2694681,-086.2173729,90857243.61,,,,,,,,,,,,,,,,,,,,,,
"New Roads, LA",+30.6855350,-091.4577890,31320097.27,,,,,,,,,,,,,,,,,,,,,,
"Arab, AL",+34.3303575,-086.5008460,22800445.26,,,,,,,,,,,,,,,,,,,,,,
"Beatrice, NE",+40.2742977,-096.7445517,22678467.77,,,,,,,,,,,,,,,,,,,,,,
"Opelousas, LA",+30.5314189,-092.0826418,48209313.63,,,,,,,,,,,,,,,,,,,,,,
"Mandeville--Covington, LA",+30.4336769,-090.1070663,222868986.6,,,,,,,,,,,,,,,,,,,,,,
"Georgetown, KY",+38.2134222,-084.5503220,39401637.48,,,,,,,,,,,,,,,,,,,,,,
"Lexington-Fayette, KY",+38.0262787,-084.4964076,219623099.7,,,,,,,,,,,,,,,,,,,,,,
"Camden, ME",+44.2080872,-069.0765021,10839787.78,,,,,,,,,,,,,,,,,,,,,,
"Winnfield, LA",+31.9260801,-092.6417210,11536283.29,,,,,,,,,,,,,,,,,,,,,,
"Frankfort, KY",+38.1882281,-084.8595770,59166598.44,,,,,,,,,,,,,,,,,,,,,,
"Charlestown, IN",+38.4452530,-085.6655760,10465548.84,,,,,,,,,,,,,,,,,,,,,,
"Millinocket, ME",+45.6528251,-068.6985532,8673033.214,,,,,,,,,,,,,,,,,,,,,,
"Washington, IN",+38.6532007,-087.1666545,17688124.04,,,,,,,,,,,,,,,,,,,,,,
"Plattsmouth, NE",+41.0062358,-095.8930875,7773514.46,,,,,,,,,,,,,,,,,,,,,,
"Russellville, AL",+34.5075145,-087.7270456,18035808.32,,,,,,,,,,,,,,,,,,,,,,
"Meridian, MS",+32.3839070,-088.7037557,76766319.31,,,,,,,,,,,,,,,,,,,,,,
"Opp, AL",+31.2779519,-086.2554830,13654446.46,,,,,,,,,,,,,,,,,,,,,,
"Brookhaven, MS",+31.5861258,-090.4456305,26048894.01,,,,,,,,,,,,,,,,,,,,,,
"Grand Island, NE",+40.9248409,-098.3569721,77360591.12,,,,,,,,,,,,,,,,,,,,,,
"Columbus, MS",+33.5152086,-088.4026265,52735644.8,,,,,,,,,,,,,,,,,,,,,,
"Bremen, GA",+33.7159271,-085.1423963,19125368.32,,,,,,,,,,,,,,,,,,,,,,
"Batesville, MS",+34.3193317,-089.9411203,16264241.71,,,,,,,,,,,,,,,,,,,,,,
"Fairbury, NE",+40.1447383,-097.1765035,6122868.416,,,,,,,,,,,,,,,,,,,,,,
"Pratt, KS",+37.6473691,-098.7318900,9493556,,,,,,,,,,,,,,,,,,,,,,
"Seymour, IN",+38.9492679,-085.8862605,37297136.79,,,,,,,,,,,,,,,,,,,,,,
"Lincoln, NE",+40.8089549,-096.6789437,246890674.1,,,,,,,,,,,,,,,,,,,,,,
"Brewton, AL",+31.1057358,-087.0691159,16260514.57,,,,,,,,,,,,,,,,,,,,,,
"Moberly, MO",+39.4212028,-092.4350333,29622267,,,,,,,,,,,,,,,,,,,,,,
"Newport, AR",+35.6163919,-091.2592533,11914441.12,,,,,,,,,,,,,,,,,,,,,,
"Bedford, VA",+37.3391416,-079.5249041,22241929.06,,,,,,,,,,,,,,,,,,,,,,
"Buena Vista, VA",+37.7360151,-079.3526777,10480108.04,,,,,,,,,,,,,,,,,,,,,,
"Pine Bluff, AR",+34.2326970,-092.0489810,116390842.1,,,,,,,,,,,,,,,,,,,,,,
"Lincolnton, NC",+35.4812995,-081.2292940,73926419.63,,,,,,,,,,,,,,,,,,,,,,
"Oxford, NC",+36.3096840,-078.5838517,17231815.18,,,,,,,,,,,,,,,,,,,,,,
"Camdenton, MO",+38.0046725,-092.7752672,22974334.98,,,,,,,,,,,,,,,,,,,,,,
"Marion, NC",+35.6815070,-082.0144424,35462006.19,,,,,,,,,,,,,,,,,,,,,,
"Galax, VA",+36.6656397,-080.9143083,17214103.75,,,,,,,,,,,,,,,,,,,,,,
"Franklin, LA",+29.7971873,-091.5051051,16207004.61,,,,,,,,,,,,,,,,,,,,,,
"Elk City, OK",+35.4085021,-099.4078179,23342391.17,,,,,,,,,,,,,,,,,,,,,,
"Hillsboro, TX",+32.0145234,-097.1128234,15461760.64,,,,,,,,,,,,,,,,,,,,,,
"El Dorado, KS",+37.8193514,-096.8662482,19313070.4,,,,,,,,,,,,,,,,,,,,,,
"Granbury, TX",+32.4144885,-097.7800015,61379721.3,,,,,,,,,,,,,,,,,,,,,,
"Mount Vernon, IN",+37.9299299,-087.9012867,12596357.24,,,,,,,,,,,,,,,,,,,,,,
"Warrenton, MO",+38.8160932,-091.1414105,15837664.32,,,,,,,,,,,,,,,,,,,,,,
"Lake Pocotopaug, CT",+41.5879397,-072.5060765,21948216.72,,,,,,,,,,,,,,,,,,,,,,
"Elkhart, IN--MI",+41.6623383,-085.9244955,253978458.4,,,,,,,,,,,,,,,,,,,,,,
